Country;League;Club;Player Names;Matches_Played;Substitution ;Mins;Goals;xG;xG Per Avg Match;Shots;OnTarget;Shots Per Avg Match;On Target Per Avg Match;Year
 Netherlands;Eredivisie;(PSV);Noni Madueke;3;7;524;4;ﬁub.87;0.52;17;7;3.Au;Oca.27;2019
 Netherlands;Eredivisie;(AJA);Davy Klaassen;6;0;490;5;4.ﬁub;0.78;13;8;ﬁub.52;Oca.55;2019
 Netherlands;Eredivisie;(VIT);Oussama Tannane;8;0;680;4;ﬁub.65;0.37;40;9;May.59;Oca.26;2019
 Netherlands;Eredivisie;(TWE);Vaclav Cerny;10;0;824;4;Oca.39;0.16;21;12;ﬁub.42;Oca.38;2019
 Netherlands;Eredivisie;(WIL);Vangelis Pavlidis;10;0;927;4;ﬁub.83;0.29;26;15;ﬁub.66;Oca.54;2019
 Netherlands;Eredivisie;(HEE);Henk Veerman;10;0;916;8;Nis.44;0.46;32;14;Mar.32;Oca.45;2019
 Netherlands;Eredivisie;(SPR);Abdou Harroui;10;0;834;4;Oca.93;0.22;24;13;ﬁub.73;Oca.48;2019
 Netherlands;Eredivisie;(HER);Rai Vloet;10;0;853;7;Nis.49;0.5;21;9;ﬁub.34;1;2019
 Netherlands;Eredivisie;(AJA);Lassina Traore;6;4;506;7;Nis.21;0.79;18;8;Mar.38;1.May;2019
 Netherlands;Eredivisie;(VVV);Georgios Giakoumakis;10;0;911;9;Tem.19;0.75;35;14;Mar.65;Oca.46;2019
USA;MLS;(TOR);Alex Pozuelo;24;0;2247;9;Au.28;0.35;57;25;ﬁub.41;1.Haz;2020
USA;MLS;(MIN);Kevin Molino;16;3;1430;11;Haz.32;0.42;43;20;ﬁub.86;Oca.33;2020
USA;MLS;(RSL);Damir Kreilach;20;1;1872;8;6.Kas;0.31;48;19;ﬁub.44;0.96;2020
USA;MLS;(LAF);Bradley Wright-Phillips;15;4;1190;8;May.89;0.47;33;15;ﬁub.63;1.ﬁub;2020
USA;MLS;(LAF);Diego Rossi;19;0;1816;14;Kas.85;0.62;71;34;Mar.71;Oca.78;2020
USA;MLS;(SOU);Nicolas Lodeiro;21;0;2014;8;Haz.36;0.3;43;19;2.Mar;0.9;2020
USA;MLS;(SOU);Raul Ruidiaz;18;0;1626;14;Au.56;0.5;58;24;Mar.39;1.Nis;2020
USA;MLS;(ORL);Daryl Dike;17;2;1482;8;Mar.74;0.24;33;13;2.Ara;0.83;2020
USA;MLS;(CCR);Gyasi Zardes;22;1;2034;14;Kas.99;0.56;50;25;ﬁub.34;Oca.17;2020
USA;MLS;(LAG);Cristian Pavon;22;0;2106;10;May.99;0.27;63;25;ﬁub.84;Oca.13;2020
USA;MLS;(ORL);Chris Mueller;19;5;1726;10;6;0.33;38;20;2.Eyl;1.Oca;2020
USA;MLS;(MON);Romell Quioto;18;2;1676;9;May.82;0.33;54;23;3.Haz;1.Mar;2020
USA;MLS;(SOU);Jordan Morris;19;4;1927;11;Au.32;0.41;43;19;2.Ara;0.94;2020
USA;MLS;(PHI);Kacper Przybylko;24;0;2216;8;Au.63;0.37;56;27;2.Nis;Oca.16;2020
USA;MLS;(NER);Gustavo Bou;17;4;1701;8;6.Au;0.38;81;28;Nis.52;Oca.56;2020
USA;MLS;(CHF);Robert Beric;22;1;2063;13;Eyl.99;0.46;62;28;ﬁub.86;Oca.29;2020
USA;MLS;(TOR);Ayo Akinola;11;5;1195;9;7.Mar;0.58;37;19;ﬁub.94;Oca.51;2020
USA;MLS;(POR);Jeremy Ebobisse;11;8;1189;8;Mar.63;0.29;33;15;ﬁub.64;1.ﬁub;2020
USA;MLS;(POR);Diego Valeri;19;4;1864;8;5.Mar;0.27;44;17;ﬁub.24;0.87;2020
USA;MLS;(SJE);Chris Wondolowski;14;9;1509;8;Tem.31;0.46;35;20;2.ﬁub;Oca.26;2020
Spain;La Liga;(SEV);Youssef   En-Nesyri;5;4;465;4;Mar.33;0.68;14;4;ﬁub.86;0.82;2020
Spain;La Liga;(SOC);Portu ;6;5;691;4;Oca.53;0.21;6;4;0.82;0.55;2020
Spain;La Liga;(RMA);Karim Benzema;8;0;741;4;Nis.91;0.63;27;12;Mar.46;Oca.54;2020
Spain;La Liga;(VAL);Carlos Soler;6;1;599;4;Mar.34;0.53;8;5;Oca.27;0.79;2020
Spain;La Liga;(BET);Cristian Tello;7;4;629;4;Oca.92;0.29;22;8;Mar.32;Oca.21;2020
Spain;La Liga;(SOC);Mikel Oyarzabal;9;2;736;7;Haz.82;0.88;31;16;4;2.Tem;2020
Spain;La Liga;(EIB);Esteban Burgos;6;1;589;3;ﬁub.85;0.46;5;4;0.81;0.65;2020
Spain;La Liga;(ALA);Lucas Perez;7;2;637;3;Nis.36;0.65;13;6;Oca.94;0.89;2020
Spain;La Liga;(BAR);Lionel Messi;8;1;824;4;May.46;0.63;39;19;4.May;ﬁub.19;2020
Spain;La Liga;(ATL);Joao Felix;6;3;641;5;Mar.85;0.57;21;6;3.Kas;0.89;2020
Spain;La Liga;(ATL);Luis Suarez;5;1;387;5;3.Mar;0.81;22;8;5.Nis;Oca.96;2020
Spain;La Liga;(VIL);Paco Alcacer;9;0;693;5;5.Kas;0.7;16;8;ﬁub.19;1.Oca;2020
Spain;La Liga;(LEV);Morales ;10;0;758;4;ﬁub.71;0.34;17;8;ﬁub.13;1;2020
Spain;La Liga;(RMA);Federico Valverde;6;2;566;3;Oca.13;0.19;9;5;Oca.51;0.84;2020
Spain;La Liga;(BAR);Antoine Griezmann;8;1;634;3;Mar.67;0.55;18;8;2.Tem;1.ﬁub;2020
Spain;La Liga;(CEL);Iago Aspas;11;0;1056;5;Nis.89;0.44;21;12;Oca.89;1.Au;2020
Spain;La Liga;(EIB);Kike GarcIa;9;1;790;3;ﬁub.83;0.34;19;8;ﬁub.28;0.96;2020
Spain;La Liga;(GET);Angel Rodriguez;3;6;501;4;2.Haz;0.39;14;7;ﬁub.65;Oca.33;2020
Spain;La Liga;(BAR);Ansu Fati;6;1;451;4;1.Au;0.38;14;7;ﬁub.95;Oca.47;2020
Spain;La Liga;(VIL);Gerard Moreno;9;0;822;6;6.Nis;0.74;29;11;Mar.35;Oca.27;2020
Italy;Serie A;(BOL);Roberto Soriano;9;0;849;5;ﬁub.41;0.27;18;7;2.Oca;0.78;2020
Italy;Serie A;(SAS);Francesco Caputo;6;0;567;5;Mar.52;0.59;18;9;3.ﬁub;Oca.51;2020
Italy;Serie A;(CAG);Joao Pedro;9;0;831;6;Mar.41;0.39;21;10;2.Nis;Oca.14;2020
Italy;Serie A;(ATA);Alejandro Gomez;9;0;643;4;ﬁub.23;0.33;28;11;Nis.14;Oca.63;2020
Italy;Serie A;(TOR);Andrea Belotti;8;0;754;7;Mar.49;0.44;24;11;3.ﬁub;Oca.39;2020
Italy;Serie A;(FIO);Gaetano Castrovilli;9;0;755;4;Oca.43;0.18;11;7;Oca.38;0.88;2020
Italy;Serie A;(CAG);Giovanni Simeone;8;0;664;5;Mar.29;0.47;15;5;ﬁub.15;0.72;2020
Italy;Serie A;(SAS);Domenico Berardi;8;0;766;4;2.ﬁub;0.25;21;11;2.Haz;Oca.36;2020
Italy;Serie A;(ROM);Henrikh Mkhitaryan;9;0;825;5;May.82;0.67;30;14;Mar.45;Oca.61;2020
Italy;Serie A;(ROM);Jordan Veretout;9;0;769;4;Mar.48;0.43;18;7;ﬁub.22;0.86;2020
Italy;Serie A;(PAR);Gervinho ;8;0;669;4;Oca.97;0.28;13;5;Oca.85;0.71;2020
Italy;Serie A;(INT);Lautaro MartInez;7;2;656;5;ﬁub.35;0.34;29;11;4.ﬁub;Oca.59;2020
Italy;Serie A;(ATA);Luis Muriel;3;4;264;4;ﬁub.78;1;20;7;7.ﬁub;ﬁub.52;2020
Italy;Serie A;(JUV);Cristiano Ronaldo;5;1;397;8;May.31;Oca.27;26;13;Haz.22;3.Kas;2020
Italy;Serie A;(INT);Romelu Lukaku;6;2;580;7;Tem.27;Oca.19;22;10;3.Haz;Oca.64;2020
Italy;Serie A;(NAP);Dries Mertens;9;0;616;4;ﬁub.46;0.38;24;11;3.Tem;1.Tem;2020
Italy;Serie A;(LAZ);Ciro Immobile;6;1;571;5;Mar.73;0.62;22;8;Mar.66;Oca.33;2020
Italy;Serie A;(SAM);Fabio Quagliarella;8;1;694;5;Nis.46;0.61;23;9;Mar.15;Oca.23;2020
Italy;Serie A;(ACM);Zlatan Ibrahimovic;6;0;557;10;Tem.92;Oca.35;35;16;May.97;ﬁub.73;2020
Italy;Serie A;(NAP);Hirving Lozano;9;0;568;4;ﬁub.93;0.49;18;11;3.Oca;Oca.84;2020
Germany;Bundesliga;(LEV);Lucas Alario;6;1;561;7;3.Tem;0.52;20;11;Mar.39;Oca.86;2020
Germany;Bundesliga;(FRA);Bas Dost;8;1;732;3;Mar.24;0.42;14;8;Oca.82;1.Nis;2020
Germany;Bundesliga;(BAY);Serge Gnabry;7;1;626;4;Oca.58;0.24;18;9;ﬁub.73;Oca.37;2020
Germany;Bundesliga;(WOB);Wout Weghorst;8;1;778;6;May.57;0.68;25;14;3.May;Oca.71;2020
Germany;Bundesliga;(RBL);Dani Olmo;9;0;834;4;ﬁub.28;0.26;19;8;ﬁub.16;0.91;2020
Germany;Bundesliga;(KOL);Ellyes Skhiri;8;0;709;3;Oca.87;0.25;6;3;0.8;0.4;2020
Germany;Bundesliga;(BAY);Thomas Muller;9;0;822;4;3.ﬁub;0.37;13;5;1.May;0.58;2020
Germany;Bundesliga;(UNB);Max Kruse;7;2;669;6;Nis.44;0.63;13;10;Oca.85;Oca.42;2020
Germany;Bundesliga;(FRA);Andre Silva;9;0;802;7;Tem.43;0.88;37;16;Nis.38;1.Eyl;2020
Germany;Bundesliga;(FCA);Andre Hahn;7;2;547;3;Oca.44;0.25;12;6;2.Au;1.Nis;2020
Germany;Bundesliga;(MAI);Jean-Philippe Mateta;9;0;723;7;6.Oca;0.79;23;12;3.ﬁub;Oca.58;2020
Germany;Bundesliga;(HOF);Andrej Kramaric;5;0;481;7;Nis.61;0.91;23;14;Nis.54;ﬁub.77;2020
Germany;Bundesliga;(SVW);Niclas Fullkrug;4;1;293;4;3.ﬁub;0.98;13;7;Nis.22;ﬁub.27;2020
Germany;Bundesliga;(BMG);Lars Stindl;7;2;567;4;Mar.52;0.59;19;9;Mar.18;Oca.51;2020
Germany;Bundesliga;(FCA);Daniel Caligiuri;9;0;841;3;0.8;0.09;11;5;Oca.24;0.56;2020
Germany;Bundesliga;(DOR);Erling Haaland;7;1;683;10;Haz.76;0.94;30;14;Nis.17;Oca.95;2020
Germany;Bundesliga;(BSC);Jhon Cordoba;5;2;493;3;ﬁub.23;0.43;18;5;Mar.47;0.96;2020
Germany;Bundesliga;(SCF);Nils Petersen;6;3;608;4;2.Kas;0.33;15;7;ﬁub.34;1.Eyl;2020
Germany;Bundesliga;(BSC);Matheus Cunha;9;0;857;6;Mar.43;0.38;26;15;ﬁub.88;Oca.66;2020
Germany;Bundesliga;(BAY);Robert Lewandowski;7;1;672;12;Tem.78;1.Oca;35;17;Nis.95;2.Nis;2020
France;France Ligue 18;(NAN);Ludovic Blas;11;1;990;4;Oca.88;0.18;19;7;Oca.82;0.67;2020
France;France Ligue 12;(ANG);Stephane Bahoken;8;2;644;5;Mar.53;0.52;30;14;Nis.43;2.Tem;2020
France;France Ligue 9;(LYO);Karl Toko;9;1;822;5;May.88;0.68;27;12;3.Ara;Oca.39;2020
France;France Ligue 10;(MON);Kevin Volland;9;1;709;5;Mar.43;0.46;12;11;Oca.61;Oca.47;2020
France;France Ligue 3;(MPE);Andy Delort;11;0;902;6;Nis.18;0.44;31;14;Mar.26;Oca.47;2020
France;France Ligue 4;(LIL);Burak Yilmaz;10;1;903;6;Nis.56;0.48;28;17;ﬁub.95;Oca.79;2020
France;France Ligue 5;(MET);Ibrahima Niane;6;0;482;6;Mar.45;0.68;21;9;Nis.14;Oca.77;2020
France;France Ligue 2;(REI);Boulaye Dia;9;1;772;8;May.28;0.65;25;12;3.Au;Oca.48;2020
France;France Ligue 20;(PSG);Moise Kean;6;0;454;4;3.ﬁub;0.67;14;5;ﬁub.93;1.May;2020
France;France Ligue 15;(LEN);Ignatius Ganago;6;3;452;4;Mar.33;0.7;14;7;ﬁub.94;Oca.47;2020
France;France Ligue 8;(BRE);Irvin Cardona;6;5;627;5;ﬁub.71;0.41;21;8;Mar.18;Oca.21;2020
France;France Ligue 6;(MON);Wissam Ben;10;1;879;6;May.74;0.62;30;8;Mar.24;0.86;2020
France;France Ligue 14;(MAR);Florian Thauvin;10;0;835;4;ﬁub.99;0.34;21;8;ﬁub.39;0.91;2020
France;France Ligue 13;(NIC);Amine Gouiri;9;2;903;4;Mar.33;0.35;26;10;ﬁub.74;1.May;2020
France;France Ligue 16;(LIL);Jonathan Bamba;11;1;1061;4;Oca.68;0.15;25;9;ﬁub.24;0.81;2020
France;France Ligue 17;(STR);Ludovic Ajorque;11;0;1008;4;Mar.61;0.34;17;8;1.Haz;0.75;2020
France;France Ligue 1;(PSG);Kylian Mbappe-Lottin;7;1;610;9;Haz.81;1.Haz;33;20;May.14;3.Kas;2020
France;France Ligue 19;(DIJ);Mama Balde;8;0;669;4;4.Oca;0.57;30;10;Nis.26;Oca.42;2020
France;France Ligue 11;(LYO);Memphis Depay;9;3;903;5;Nis.75;0.5;30;10;Mar.16;1.May;2020
France;France Ligue 7;(LEN);Gael Kakuta;10;1;786;5;Nis.14;0.5;18;6;ﬁub.18;0.73;2020
England;Premier League;(SOU);James Ward-Prowse;10;0;960;4;0.71;0.07;10;7;0.99;0.69;2020
England;Premier League;(MNU);Bruno Fernandes;9;0;809;7;May.45;0.64;30;14;Mar.52;Oca.64;2020
England;Premier League;(EVE);Dominic Calvert-Lewin;10;0;940;10;7.Ara;0.72;32;18;Mar.23;Oca.82;2020
England;Premier League;(CHE);Timo Werner;10;0;876;4;Mar.69;0.4;23;10;ﬁub.49;1.Au;2020
England;Premier League;(NEW);Callum Wilson;9;0;835;7;6.May;0.74;18;8;2.May;0.91;2020
England;Premier League;(LIV);Diogo Jota;5;3;530;5;ﬁub.51;0.45;20;11;Mar.58;Oca.97;2020
England;Premier League;(CRY);Wilfried Zaha;8;0;779;5;Nis.35;0.53;18;7;2.ﬁub;0.85;2020
England;Premier League;(AVL);Jack Grealish;9;0;872;5;ﬁub.85;0.31;26;9;ﬁub.83;0.98;2020
England;Premier League;(WOL);Raul Jimenez;10;0;872;4;3.Mar;0.36;26;10;ﬁub.83;1.Eyl;2020
England;Premier League;(WHU);Jarrod Bowen;10;0;845;4;ﬁub.94;0.33;22;5;ﬁub.47;0.56;2020
England;Premier League;(LEE);Patrick Bamford;10;0;898;7;Tem.28;0.77;40;17;Nis.23;1.Au;2020
England;Premier League;(LIV);Mohamed Salah;9;0;831;8;6.Ara;0.7;35;15;4;Oca.71;2020
England;Premier League;(LEI);Jamie Vardy;8;1;780;8;8.Tem;1.Haz;21;15;ﬁub.56;Oca.83;2020
England;Premier League;(TOT);Harry Kane;10;0;956;7;Haz.64;0.66;39;15;Mar.88;Oca.49;2020
England;Premier League;None;Danny Ings ;7;0;662;5;ﬁub.58;0.37;15;9;ﬁub.15;Oca.29;2020
England;Premier League;(BHA);Neal Maupay;9;0;786;4;Haz.54;0.79;25;11;3.ﬁub;Oca.33;2020
England;Premier League;(AVL);Ollie Watkins;9;0;872;6;Haz.43;0.7;22;9;2.Nis;0.98;2020
England;Premier League;(LIV);Sadio Mane;8;1;785;4;Nis.88;0.59;27;13;Mar.27;Oca.57;2020
England;Premier League;(MNC);Riyad Mahrez;7;0;612;4;Oca.93;0.3;21;10;Mar.26;Oca.55;2020
England;Premier League;(TOT);Son Heung-Min;10;0;861;9;3.Eyl;0.43;20;12;ﬁub.21;Oca.32;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Luciano ;16;3;1588;11;6.ﬁub;0.36;37;17;ﬁub.21;1.ﬁub;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(CEA);Vinicius ;16;1;1348;7;May.25;0.37;51;24;Mar.59;Oca.69;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAN);Marinho ;17;2;1662;13;Tem.52;0.43;58;26;Mar.32;Oca.49;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(PAL);Raphael Veiga;10;4;914;6;Mar.37;0.35;27;11;ﬁub.81;Oca.14;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(PAL);Luiz Adriano;14;3;1235;7;Haz.24;0.48;21;13;Oca.62;1;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(CEA);Cleber ;17;3;1336;5;Haz.75;0.48;41;13;ﬁub.92;0.92;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(VDG);German Cano;19;0;1733;10;10.Mar;0.55;37;22;2.Mar;Oca.21;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(GRE);Pepe;15;3;1397;7;May.44;0.37;32;13;ﬁub.18;0.88;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(SAP);Brenner None;9;6;1063;6;7.May;0.67;36;14;Mar.22;Oca.25;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(BOT);Matheus Babi;17;3;1709;6;May.94;0.33;32;14;Oca.78;0.78;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLU);Nene ;18;0;1434;7;Nis.38;0.29;35;13;ﬁub.32;0.86;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLA);Bruno Henrique;15;1;1412;5;Au.92;0.6;45;18;3.Mar;Oca.21;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(INT);Thiago Galhardo;16;5;1605;15;12.May;0.74;53;27;Mar.14;1.Haz;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(CAM);Keno ;19;3;1829;10;Kas.36;0.59;72;31;Mar.74;Oca.61;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(RBB);Alerrandro ;10;2;861;5;6.Tem;0.67;24;11;ﬁub.65;Oca.21;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(FOR);Wellington Paulista;13;8;1208;6;May.34;0.42;24;12;Oca.89;0.94;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(RBB);Claudinho ;19;1;1657;10;Nis.19;0.24;53;19;3.Nis;1.Eyl;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(CFC);Robson;22;0;1937;6;Au.56;0.42;53;17;2.Haz;0.83;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(FLA);Pedro ;12;6;1207;10;Eki.42;0.82;46;25;Mar.62;Oca.97;2020
Brazil;Campeonato Brasileiro S√É¬©rie A;(CAP);Renato Kayzer;17;1;1639;7;Tem.59;0.44;46;21;ﬁub.67;Oca.22;2020
 Netherlands;Eredivisie;(MNU);Donny van de Beek;22;1;2023;8;4.Eyl;0.23;44;16;2.Tem;0.75;2020
 Netherlands;Eredivisie;(AZA);Teun Koopmeiners;25;0;2336;11;Eyl.34;0.38;35;18;Oca.42;0.73;2020
 Netherlands;Eredivisie;Aitor;Cantalapiedra ;21;0;1933;7;Eyl.16;0.45;58;23;ﬁub.85;Oca.13;2020
 Netherlands;Eredivisie;(FEY);Bryan Linssen;25;0;2256;14;Au.31;0.35;92;39;Mar.87;Oca.64;2020
 Netherlands;Eredivisie;Tim;Matavz ;24;1;2157;12;9.Au;0.4;55;28;ﬁub.42;Oca.23;2020
 Netherlands;Eredivisie;(SEV);Oussama Idrissi;25;0;2047;13;7.Kas;0.33;67;34;3.Kas;Oca.58;2020
 Netherlands;Eredivisie;(AJA);Dusan Tadic;25;0;2287;11;Kas.31;0.47;63;26;ﬁub.62;1.Au;2020
 Netherlands;Eredivisie;(FEY);Steven Berghuis;24;0;2226;15;13.36;0.57;89;44;3.Au;Oca.88;2020
 Netherlands;Eredivisie;(CSK);Chidera Ejuke;24;1;2147;9;Haz.55;0.29;60;25;ﬁub.65;1.Kas;2020
 Netherlands;Eredivisie;(AZA);Myron Boadu;24;0;2099;14;13.26;0.6;60;30;ﬁub.72;Oca.36;2020
 Netherlands;Eredivisie;(AJA);Klaas-Jan Huntelaar;6;12;938;9;Haz.91;0.7;32;17;Mar.24;Oca.72;2020
 Netherlands;Eredivisie;(WIL);Vangelis Pavlidis;25;0;2265;11;Ara.64;0.53;70;31;ﬁub.94;1.Mar;2020
 Netherlands;Eredivisie;(EMM);Michael de Leeuw;26;0;2383;9;Au.28;0.33;51;23;2.Mar;0.92;2020
 Netherlands;Eredivisie;(PSV);Donyell Malen;14;0;1245;11;Au.91;0.68;59;32;4.May;ﬁub.44;2020
 Netherlands;Eredivisie;(RZA);Haris Vuckic;23;2;2194;11;6;0.26;38;17;Oca.65;0.74;2020
 Netherlands;Eredivisie;(UTR);Gyrano Kerk;24;0;2155;10;Tem.49;0.33;50;18;2.ﬁub;0.79;2020
 Netherlands;Eredivisie;(AJA);Quincy Promes;18;2;1573;12;Eyl.77;0.59;56;30;Mar.38;Oca.81;2020
 Netherlands;Eredivisie;(PSV);Denzel Dumfries;25;0;2363;7;May.72;0.23;45;14;Oca.81;0.56;2020
 Netherlands;Eredivisie;None;Cyriel Dessers ;26;0;2461;15;14.51;0.56;84;43;Mar.24;Oca.66;2020
 Netherlands;Eredivisie;(PSV);Cody Gakpo;14;11;1557;7;Nis.43;0.27;38;15;ﬁub.32;0.92;2020
